Date,Close, Open, High, Low
2014-05-06,2172.75,1949.75,2205.75,1835.0
2014-05-07,2149.0,2152.25,2152.25,2146.0
2014-05-08,2141.75,2150.0,2150.0,2130.0
2014-05-09,2107.25,2133.5,2133.5,2125.0
2014-05-12,2088.25,2086.0,2086.0,2086.0
2014-05-13,2085.25,2085.25,2085.25,2085.25
2014-05-14,2110.0,2145.0,2145.5,2145.0
2014-05-15,2115.5,2142.75,2142.75,2142.75
2014-05-16,2106.25,2106.25,2106.25,2106.25
2014-05-19,2113.75,2113.75,2113.75,2113.75
2014-05-20,2106.75,2106.75,2106.75,2106.75
2014-05-21,2106.75,2106.75,2106.75,2106.75
2014-05-22,2136.0,2123.0,2130.5,2123.0
2014-05-23,2150.0,2154.75,2154.75,2153.0
2014-05-27,2159.25,2158.0,2158.0,2158.0
2014-05-28,2174.25,2171.5,2178.5,2167.25
2014-05-29,2179.25,2179.25,2179.25,2179.25
2014-05-30,2177.25,2177.25,2177.25,2177.25
2014-06-02,2186.0,2186.0,2186.0,2186.0
2014-06-03,2198.0,2204.0,2204.0,2204.0
2014-06-04,2189.75,2189.75,2189.75,2189.75
2014-06-05,2201.0,2201.0,2201.0,2201.0
2014-06-06,2222.25,2222.25,2222.25,2222.25
2014-06-09,2257.0,2261.75,2261.75,2261.75
2014-06-10,2250.75,2250.75,2250.75,2250.75
2014-06-11,2222.25,2224.5,2224.5,2224.5
2014-06-12,2183.0,2183.0,2183.0,2183.0
2014-06-13,2190.25,2190.25,2190.25,2190.25
2014-06-16,2206.75,2192.5,2202.75,2192.5
2014-06-17,2195.75,2196.25,2196.25,2190.75
2014-06-18,2211.0,2211.0,2211.0,2211.0
2014-06-19,2225.75,2225.75,2225.75,2225.75
2014-06-20,2221.5,2221.5,2221.5,2221.5
2014-06-23,2231.25,2238.25,2238.25,2238.25
2014-06-24,2247.5,2247.5,2247.5,2247.5
2014-06-25,2236.0,2236.0,2236.0,2236.0
2014-06-26,2237.25,2237.25,2237.25,2237.25
2014-06-27,2228.75,2228.75,2228.75,2228.75
2014-06-30,2238.75,2238.75,2238.75,2238.75
2014-07-01,2227.25,2227.25,2227.25,2227.25
2014-07-02,2262.5,2262.5,2262.5,2262.5
2014-07-03,2275.25,2275.25,2275.25,2275.25
2014-07-07,2264.25,2264.25,2264.25,2264.25
2014-07-08,2277.25,2277.25,2277.25,2277.25
2014-07-09,2273.0,2273.0,2273.0,2273.0
2014-07-10,2270.0,2270.0,2270.0,2270.0
2014-07-11,2285.75,2285.75,2285.75,2285.75
2014-07-14,2287.0,2287.0,2287.0,2287.0
2014-07-15,2289.25,2289.25,2289.25,2289.25
2014-07-16,2305.5,2305.5,2305.5,2305.5
2014-07-17,2319.5,2319.5,2319.5,2319.5
2014-07-18,2323.75,2311.25,2311.25,2311.25
2014-07-21,2361.25,2361.25,2361.25,2361.25
2014-07-22,2381.25,2381.25,2381.25,2381.25
2014-07-23,2357.5,2360.75,2370.75,2360.75
2014-07-24,2388.25,2388.25,2388.25,2388.25
2014-07-25,2367.0,2367.0,2367.0,2367.0
2014-07-28,2377.75,2377.75,2377.75,2377.75
2014-07-29,2342.75,2342.0,2342.0,2342.0
2014-07-30,2376.5,2376.5,2376.5,2376.5
2014-07-31,2346.75,2346.75,2346.75,2346.75
2014-08-01,2338.25,2338.25,2338.25,2338.25
2014-08-04,2382.0,2382.0,2382.0,2382.0
2014-08-05,2364.0,2364.0,2364.0,2364.0
2014-08-06,2374.75,2374.75,2374.75,2374.75
2014-08-07,2373.75,2373.75,2373.75,2373.75
2014-08-08,2370.0,2370.0,2370.0,2370.0
2014-08-11,2383.0,2383.0,2383.0,2383.0
2014-08-12,2387.0,2387.0,2387.0,2387.0
2014-08-13,2363.5,2363.5,2363.5,2363.5
2014-08-14,2327.75,2327.75,2327.75,2327.75
2014-08-15,2324.0,2324.0,2324.0,2324.0
2014-08-18,2341.5,2341.5,2341.5,2341.5
2014-08-19,2364.25,2355.5,2355.5,2355.5
2014-08-20,2401.75,2401.75,2401.75,2401.75
2014-08-21,2387.75,2387.75,2387.75,2387.75
2014-08-22,2405.5,2405.5,2405.5,2405.5
2014-08-25,2405.5,2405.5,2405.5,2405.5
2014-08-26,2448.5,2448.0,2448.0,2448.0
2014-08-27,2452.5,2440.0,2440.0,2440.0
2014-08-28,2444.5,2444.5,2444.5,2444.5
2014-08-29,2461.0,2461.0,2461.0,2461.0
2014-09-02,2474.5,2474.5,2474.5,2474.5
2014-09-03,2458.75,2458.75,2458.75,2458.75
2014-09-04,2484.25,2484.25,2484.25,2484.25
2014-09-05,2463.75,2463.75,2463.75,2463.75
2014-09-08,2478.5,2478.5,2478.5,2478.5
2014-09-09,2450.25,2450.25,2450.25,2450.25
2014-09-10,2423.5,2423.5,2423.5,2423.5
2014-09-11,2411.5,2411.5,2411.5,2411.5
2014-09-12,2399.0,2405.5,2405.5,2405.5
2014-09-15,2358.0,2366.25,2366.25,2366.25
2014-09-16,2386.25,2349.5,2381.0,2349.5
2014-09-17,2355.5,2364.0,2364.0,2364.0
2014-09-18,2340.5,2345.5,2348.25,2345.5
2014-09-19,2335.75,2335.75,2335.75,2335.75
2014-09-22,2334.0,2318.0,2334.75,2318.0
2014-09-23,2327.0,2324.75,2324.75,2322.5
2014-09-24,2341.75,2341.75,2341.75,2341.75
2014-09-25,2316.5,2326.75,2326.75,2326.75
2014-09-26,2314.5,2314.5,2314.5,2314.5
2014-09-29,2328.25,2328.25,2328.25,2328.25
2014-09-30,2320.5,2320.5,2320.5,2320.5
2014-10-01,2291.75,2291.75,2291.75,2291.75
2014-10-02,2285.5,2285.5,2285.5,2285.5
2014-10-03,2307.5,2307.5,2307.5,2307.5
2014-10-06,2311.5,2304.0,2304.0,2304.0
2014-10-07,2331.75,2307.25,2307.25,2307.25
2014-10-08,2319.5,2319.5,2319.5,2319.5
2014-10-09,2331.75,2331.75,2331.75,2331.75
2014-10-10,2317.0,2317.0,2317.0,2317.0
2014-10-13,2329.0,2329.0,2329.0,2329.0
